model,init,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,MEANJZH,MEANALP
SHARP,2_50_20,0.11590204953687996,0.14419300817675945,0.15031527432036845,0.050750929254577894,0.04547150947606183,0.05038198448308941,0.050091378970495315,0.15730382200194926,0.035105305461617616,0.03390700138942207,0.030008788452478185,0.028354746469339723,0.028799949913801436,0.02793351247923431,0.025396639538985,0.02608410007494009
SHARP,2_50_None,0.10727346687347755,0.1448795104700151,0.14935807678703664,0.04922389362410565,0.04822378708345421,0.050252482583068574,0.04863838127215723,0.156246573027686,0.03617050682154737,0.03555989673080223,0.03025369030511025,0.02955342637029232,0.030158946282502545,0.029639627133066813,0.026675172268348715,0.027892562367328858
SHARP,4_50_10,0.14691202958792995,0.19788909385311212,0.12227185813442139,0.04013507776948185,0.056287784977102295,0.07783563438764635,0.04257172707879431,0.18085981529404374,0.016792080352883033,0.02406624703429658,0.020341808326744044,0.01643972719177082,0.016260760390361197,0.014502086307475438,0.012318441197229668,0.01451582811670723
SHARP,8_100_5,0.18769768868941974,0.15990333813619473,0.10678453028742556,0.06051747213629308,0.0490015111504237,0.07689671694247334,0.03484702202608959,0.25305455959191436,0.032234047853125385,0.014915512091208278,0.0053713706335521425,0.006051963573424853,0.005208880960551133,0.0015950376015226365,0.0025786531299669306,0.0033416951964146784
SHARP,32_50_10,0.11370156577995726,0.22703191609112963,0.11256594193681865,0.05058457642671498,0.05984732907186277,0.042651910165195366,0.04208534002636928,0.22084159396350025,0.026536174735739687,0.013162929741498592,0.015635177089243595,0.017078543137226485,0.016355613918675835,0.014446188306117179,0.012916498780385444,0.014558700829564945
SHARP,8_50_10,0.14878172642808019,0.1839035811292445,0.10344380305888536,0.044831297701742094,0.0632307517999762,0.03409516935536221,0.04187253082038947,0.23717318904265716,0.02968145968221699,0.02322298805841237,0.015541178869621306,0.016780013363332274,0.016020307319750283,0.01320662135080616,0.01394616816380182,0.01426921385572161
SHARP,32_50_20,0.1015298413651958,0.18375519326255393,0.0975245049780937,0.05229789923605838,0.05869011366640535,0.04839722728246452,0.04848687369117961,0.1812734279811766,0.03799329902567179,0.02610353707706141,0.027388591178356944,0.02823183659725813,0.029373245140444725,0.027553585584353155,0.025740953597048023,0.025659870336678017
SHARP,4_100_5,0.20063856536247424,0.1807231658868648,0.14058505001748003,0.03242674535983461,0.0738992805259025,0.062499897877207944,0.03472714139175805,0.22113203015137817,0.007743757428925676,0.02025872560910176,0.007174715301713533,0.006336685139682275,0.004956219563214462,0.0021626847803222714,0.0022455300084953684,0.002489805595644274
SHARP,4_50_20,0.1269590422319484,0.164013883414716,0.10402730130341525,0.045774353264330214,0.0564704078966608,0.07360814181640256,0.048082173370770885,0.15191466295089048,0.02925776982213633,0.03397924502381039,0.03011678606246369,0.029092352462463524,0.028191371441765468,0.026746084833025166,0.026063486219295398,0.025702937885905486
SHARP,16_100_5,0.17331320871002281,0.14710882505131884,0.11862235277132879,0.03870380206433391,0.05971952918179794,0.053158300556356224,0.020012865473559793,0.3222764069194719,0.03981743590724202,0.0034244719762160625,0.004838029145200389,0.007437044564989337,0.0048290769818535514,0.0014831409971581327,0.002381904928878644,0.002873604770271735
SHARP,16_50_10,0.09785695599204679,0.1440555130788293,0.13029011867446166,0.027711049919052367,0.07878692042022636,0.06628715790505203,0.040321445368856734,0.27419478839622274,0.03825375017998054,0.013815596964806179,0.01665697776876386,0.01665195736889118,0.015801600775819366,0.013388699372608786,0.012366937749664141,0.013560530064717982
SHARP,32_100_5,0.1475609098455034,0.19750517763617403,0.1292824897570613,0.043839044485577315,0.07389999387300185,0.05321643825432048,0.037894163192442425,0.2748418814838356,0.01312534384793026,0.0036875475750931157,0.006452094672851101,0.0069172419716218795,0.004515335145998331,0.0017829829441167475,0.002736111005573262,0.0027432443088991
SHARP,16_50_None,0.08761851448525519,0.12184354789969966,0.11220517544767486,0.037154078986789546,0.07068774278974349,0.06623788657270166,0.05001707711014406,0.20831133910614824,0.045530481651240864,0.028856808088094033,0.029644909314754626,0.029076715738588457,0.02953123173245177,0.02822959720302238,0.02793020945753383,0.027124684416157306
SHARP,16_50_20,0.08014506061124996,0.12336135410996092,0.11910207401171216,0.03515721170413697,0.07081530071199296,0.0667280650384485,0.048409484982072114,0.2201204658706176,0.04413888844761857,0.02787678883960718,0.027097915611327517,0.028463814054060628,0.029382007150069944,0.02743246290640405,0.02594638232388521,0.025822723626835797
SHARP,8_50_20,0.12877998855954223,0.15293818926177247,0.09438629374502912,0.0485148761317267,0.0648354131715622,0.04188846862686249,0.04913877754902702,0.18377982521839792,0.03609192218057144,0.03383263013764817,0.02928095552833078,0.026922226245982974,0.028873470747352997,0.028190589482200108,0.025958637949744165,0.026587735464249262
